"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
a_tie52,persnet_survey,,radio,"Is <font color=red>[name5]</font color> a total stranger, especially close, or in-between with <font color=red>[name7]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_5] = ""1"" AND [name_7] = ""1""",y,,,,,
a_tie53,persnet_survey,,radio,"Is <font color=red>[name5]</font color> a total stranger, especially close, or in-between with <font color=red>[name8]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_5] = ""1"" AND [name_8] = ""1""",y,,,,,
a_tie54,persnet_survey,,radio,"Is <font color=red>[name5]</font color> a total stranger, especially close, or in-between with <font color=red>[name9]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_5] = ""1"" AND [name_9] = ""1""",y,,,,,
a_tie55,persnet_survey,,radio,"Is <font color=red>[name5]</font color> a total stranger, especially close, or in-between with <font color=red>[name10]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_5] = ""1"" AND [name_10] = ""1""",y,,,,,
a_tie56,persnet_survey,,radio,"Is <font color=red>[name5]</font color> a total stranger, especially close, or in-between with <font color=red>[name11]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_5] = ""1"" AND ([first] < 10 and [name_11] = ""1"")",y,,,,,
a_tie57,persnet_survey,,radio,"Is <font color=red>[name5]</font color> a total stranger, especially close, or in-between with <font color=red>[name12]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_5] = ""1"" AND (sum([first],[name_11])<10 and [name_12]=""1"")",y,,,,,
a_tie58,persnet_survey,,radio,"Is <font color=red>[name5]</font color> a total stranger, especially close, or in-between with <font color=red>[name13]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_5] = ""1"" AND (sum([first],[name_11],[name_12])<10 and [name_13]=""1"")",y,,,,,
a_tie59,persnet_survey,,radio,"Is <font color=red>[name5]</font color> a total stranger, especially close, or in-between with <font color=red>[name14]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_5] = ""1"" AND (sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1"")",y,,,,,
a_tie60,persnet_survey,,radio,"Is <font color=red>[name5]</font color> a total stranger, especially close, or in-between with <font color=red>[name15]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_5] = ""1"" AND (sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1"")",y,,,,,
break_name5,persnet_survey,,descriptive,"<div style = ""padding-left:21em""><font size = 3><b>- - - - - - - - - - - -</b></font>",,,,,,,"[name_6] = 1 AND ([name_7] = 1 OR [name_8] = 1 OR [name_9] = 1 OR [name_10] = 1 OR [name_11] = 1 OR [name_12] = 1 OR [name_13] = 1 OR [name_14] = 1 OR [name_15] = 1)",,,,,,
a_tie61,persnet_survey,,radio,"Is <font color=red>[name6]</font color> a total stranger, especially close, or in-between with <font color=red>[name7]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_6] = ""1"" AND [name_7] = ""1""",y,,,,,
a_tie62,persnet_survey,,radio,"Is <font color=red>[name6]</font color> a total stranger, especially close, or in-between with <font color=red>[name8]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_6] = ""1"" AND [name_8] = ""1""",y,,,,,
a_tie63,persnet_survey,,radio,"Is <font color=red>[name6]</font color> a total stranger, especially close, or in-between with <font color=red>[name9]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_6] = ""1"" AND [name_9] = ""1""",y,,,,,
a_tie64,persnet_survey,,radio,"Is <font color=red>[name6]</font color> a total stranger, especially close, or in-between with <font color=red>[name10]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_6] = ""1"" AND [name_10] = ""1""",y,,,,,
a_tie65,persnet_survey,,radio,"Is <font color=red>[name6]</font color> a total stranger, especially close, or in-between with <font color=red>[name11]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_6] = ""1"" AND ([first] < 10 and [name_11] = ""1"")",y,,,,,
a_tie66,persnet_survey,,radio,"Is <font color=red>[name6]</font color> a total stranger, especially close, or in-between with <font color=red>[name12]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_6] = ""1"" AND (sum([first],[name_11])<10 and [name_12]=""1"")",y,,,,,
a_tie67,persnet_survey,,radio,"Is <font color=red>[name6]</font color> a total stranger, especially close, or in-between with <font color=red>[name13]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_6] = ""1"" AND (sum([first],[name_11],[name_12])<10 and [name_13]=""1"")",y,,,,,
a_tie68,persnet_survey,,radio,"Is <font color=red>[name6]</font color> a total stranger, especially close, or in-between with <font color=red>[name14]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_6] = ""1"" AND (sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1"")",y,,,,,
a_tie69,persnet_survey,,radio,"Is <font color=red>[name6]</font color> a total stranger, especially close, or in-between with <font color=red>[name15]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_6] = ""1"" AND (sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1"")",y,,,,,
break_name6,persnet_survey,,descriptive,"<div style = ""padding-left:21em""><font size = 3><b>- - - - - - - - - - - -</b></font>",,,,,,,"[name_7] = 1  AND ([name_8] = 1 OR [name_9] = 1 OR [name_10] = 1 OR [name_11] = 1 OR [name_12] = 1 OR [name_13] = 1 OR [name_14] = 1 OR [name_15] = 1)",,,,,,
a_tie70,persnet_survey,,radio,"Is <font color=red>[name7]</font color> a total stranger, especially close, or in-between with <font color=red>[name8]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_7] = ""1"" AND [name_8] = ""1""",y,,,,,
a_tie71,persnet_survey,,radio,"Is <font color=red>[name7]</font color> a total stranger, especially close, or in-between with <font color=red>[name9]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_7] = ""1"" AND [name_9] = ""1""",y,,,,,
a_tie72,persnet_survey,,radio,"Is <font color=red>[name7]</font color> a total stranger, especially close, or in-between with <font color=red>[name10]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_7] = ""1"" AND [name_10] = ""1""",y,,,,,
a_tie73,persnet_survey,,radio,"Is <font color=red>[name7]</font color> a total stranger, especially close, or in-between with <font color=red>[name11]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_7] = ""1"" AND ([first] < 10 and [name_11] = ""1"")",y,,,,,
a_tie74,persnet_survey,,radio,"Is <font color=red>[name7]</font color> a total stranger, especially close, or in-between with <font color=red>[name12]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_7] = ""1"" AND (sum([first],[name_11])<10 and [name_12]=""1"")",y,,,,,
a_tie75,persnet_survey,,radio,"Is <font color=red>[name7]</font color> a total stranger, especially close, or in-between with <font color=red>[name13]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_7] = ""1"" AND (sum([first],[name_11],[name_12])<10 and [name_13]=""1"")",y,,,,,
a_tie76,persnet_survey,,radio,"Is <font color=red>[name7]</font color> a total stranger, especially close, or in-between with <font color=red>[name14]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_7] = ""1"" AND (sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1"")",y,,,,,
a_tie77,persnet_survey,,radio,"Is <font color=red>[name7]</font color> a total stranger, especially close, or in-between with <font color=red>[name15]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_7] = ""1"" AND (sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1"")",y,,,,,
break_name7,persnet_survey,,descriptive,"<div style = ""padding-left:21em""><font size = 3><b>- - - - - - - - - - - -</b></font>",,,,,,,"[name_8] = 1 AND ([name_9] = 1 OR [name_10] = 1 OR [name_11] = 1 OR [name_12] = 1 OR [name_13] = 1 OR [name_14] = 1 OR [name_15] = 1)",,,,,,
a_tie78,persnet_survey,,radio,"Is <font color=red>[name8]</font color> a total stranger, especially close, or in-between with <font color=red>[name9]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_8] = ""1"" AND [name_9] = ""1""",y,,,,,
a_tie79,persnet_survey,,radio,"Is <font color=red>[name8]</font color> a total stranger, especially close, or in-between with <font color=red>[name10]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_8] = ""1"" AND [name_10] = ""1""",y,,,,,
a_tie80,persnet_survey,,radio,"Is <font color=red>[name8]</font color> a total stranger, especially close, or in-between with <font color=red>[name11]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_8] = ""1"" AND ([first] < 10 and [name_11] = ""1"")",y,,,,,
a_tie81,persnet_survey,,radio,"Is <font color=red>[name8]</font color> a total stranger, especially close, or in-between with <font color=red>[name12]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_8] = ""1"" AND (sum([first],[name_11])<10 and [name_12]=""1"")",y,,,,,
a_tie82,persnet_survey,,radio,"Is <font color=red>[name8]</font color> a total stranger, especially close, or in-between with <font color=red>[name13]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_8] = ""1"" AND (sum([first],[name_11],[name_12])<10 and [name_13]=""1"")",y,,,,,
a_tie83,persnet_survey,,radio,"Is <font color=red>[name8]</font color> a total stranger, especially close, or in-between with <font color=red>[name14]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_8] = ""1"" AND (sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1"")",y,,,,,
a_tie84,persnet_survey,,radio,"Is <font color=red>[name8]</font color> a total stranger, especially close, or in-between with <font color=red>[name15]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_8] = ""1"" AND (sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1"")",y,,,,,
break_name8,persnet_survey,,descriptive,"<div style = ""padding-left:21em""><font size = 3><b>- - - - - - - - - - - -</b></font>",,,,,,,"[name_9] = 1 AND ([name_10] = 1 OR [name_11] = 1 OR [name_12] = 1 OR [name_13] = 1 OR [name_14] = 1 OR [name_15] = 1)",,,,,,
a_tie85,persnet_survey,,radio,"Is <font color=red>[name9]</font color> a total stranger, especially close, or in-between with <font color=red>[name10]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_9] = ""1"" AND [name_10] = ""1""",y,,,,,
a_tie86,persnet_survey,,radio,"Is <font color=red>[name9]</font color> a total stranger, especially close, or in-between with <font color=red>[name11]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_9] = ""1"" AND ([first] < 10 and [name_11] = ""1"")",y,,,,,
a_tie87,persnet_survey,,radio,"Is <font color=red>[name9]</font color> a total stranger, especially close, or in-between with <font color=red>[name12]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_9] = ""1"" AND (sum([first],[name_11])<10 and [name_12]=""1"")",y,,,,,
a_tie88,persnet_survey,,radio,"Is <font color=red>[name9]</font color> a total stranger, especially close, or in-between with <font color=red>[name13]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_9] = ""1"" AND (sum([first],[name_11],[name_12])<10 and [name_13]=""1"")",y,,,,,
a_tie89,persnet_survey,,radio,"Is <font color=red>[name9]</font color> a total stranger, especially close, or in-between with <font color=red>[name14]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_9] = ""1"" AND (sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1"")",y,,,,,
a_tie90,persnet_survey,,radio,"Is <font color=red>[name9]</font color> a total stranger, especially close, or in-between with <font color=red>[name15]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_9] = ""1"" AND (sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1"")",y,,,,,
break_name9,persnet_survey,,descriptive,"<div style = ""padding-left:21em""><font size = 3><b>- - - - - - - - - - - -</b></font>",,,,,,,"[name_10] = 1 AND ([name_11] = 1 OR [name_12] = 1 OR [name_13] = 1 OR [name_14] = 1 OR [name_15] = 1)",,,,,,
a_tie91,persnet_survey,,radio,"Is <font color=red>[name10]</font color> a total stranger, especially close, or in-between with <font color=red>[name11]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_10] = ""1"" AND ([first] < 10 and [name_11] = ""1"")",y,,,,,
a_tie92,persnet_survey,,radio,"Is <font color=red>[name10]</font color> a total stranger, especially close, or in-between with <font color=red>[name12]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_10] = ""1"" AND (sum([first],[name_11])<10 and [name_12]=""1"")",y,,,,,
a_tie93,persnet_survey,,radio,"Is <font color=red>[name10]</font color> a total stranger, especially close, or in-between with <font color=red>[name13]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_10] = ""1"" AND (sum([first],[name_11],[name_12])<10 and [name_13]=""1"")",y,,,,,
a_tie94,persnet_survey,,radio,"Is <font color=red>[name10]</font color> a total stranger, especially close, or in-between with <font color=red>[name14]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_10] = ""1"" AND (sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1"")",y,,,,,
a_tie95,persnet_survey,,radio,"Is <font color=red>[name10]</font color> a total stranger, especially close, or in-between with <font color=red>[name15]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_10] = ""1"" AND (sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1"")",y,,,,,
break_name10,persnet_survey,,descriptive,"<div style = ""padding-left:21em""><font size = 3><b>- - - - - - - - - - - -</b></font>",,,,,,,"([first] < 10 and [name_11] = ""1"") AND (sum([first],[name_11])<10) AND ([name_12] = 1 OR [name_13] = 1 OR [name_14] = 1 OR [name_15] = 1)",,,,,,
a_tie96,persnet_survey,,radio,"Is <font color=red>[name11]</font color> a total stranger, especially close, or in-between with <font color=red>[name12]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"([first] < 10 and [name_11] = ""1"") AND (sum([first],[name_11])<10 and [name_12]=""1"")",y,,,,,
a_tie97,persnet_survey,,radio,"Is <font color=red>[name11]</font color> a total stranger, especially close, or in-between with <font color=red>[name13]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"([first] < 10 and [name_11] = ""1"") AND (sum([first],[name_11],[name_12])<10 and [name_13]=""1"")",y,,,,,
a_tie98,persnet_survey,,radio,"Is <font color=red>[name11]</font color> a total stranger, especially close, or in-between with <font color=red>[name14]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"([first] < 10 and [name_11] = ""1"") AND (sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1"")",y,,,,,
a_tie99,persnet_survey,,radio,"Is <font color=red>[name11]</font color> a total stranger, especially close, or in-between with <font color=red>[name15]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"([first] < 10 and [name_11] = ""1"") AND (sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1"")",y,,,,,
break_name11,persnet_survey,,descriptive,"<div style = ""padding-left:21em""><font size = 3><b>- - - - - - - - - - - -</b></font>",,,,,,,"([name_12]=""1"") AND (sum([first],[name_11],[name_12])<10) AND ([name_13] = 1 OR [name_14] = 1 OR [name_15] = 1)",,,,,,
a_tie100,persnet_survey,,radio,"Is <font color=red>[name12]</font color> a total stranger, especially close, or in-between with <font color=red>[name13]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"(sum([first],[name_11])<10 and [name_12]=""1"") AND (sum([first],[name_11],[name_12])<10 and [name_13]=""1"")",y,,,,,
a_tie101,persnet_survey,,radio,"Is <font color=red>[name12]</font color> a total stranger, especially close, or in-between with <font color=red>[name14]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"(sum([first],[name_11])<10 and [name_12]=""1"") AND (sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1"")",y,,,,,
a_tie102,persnet_survey,,radio,"Is <font color=red>[name12]</font color> a total stranger, especially close, or in-between with <font color=red>[name15]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"(sum([first],[name_11])<10 and [name_12]=""1"") AND (sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1"")",y,,,,,
break_name12,persnet_survey,,descriptive,"<div style = ""padding-left:21em""><font size = 3><b>- - - - - - - - - - - -</b></font>",,,,,,,"([name_13]=""1"") AND (sum([first],[name_11],[name_12],[name_13])<10) AND ([name_14] = 1 OR [name_15] = 1)",,,,,,
a_tie103,persnet_survey,,radio,"Is <font color=red>[name13]</font color> a total stranger, especially close, or in-between with <font color=red>[name14]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"(sum([first],[name_11],[name_12])<10 and [name_13]=""1"") AND (sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1"")",y,,,,,
a_tie104,persnet_survey,,radio,"Is <font color=red>[name13]</font color> a total stranger, especially close, or in-between with <font color=red>[name15]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"(sum([first],[name_11],[name_12])<10 and [name_13]=""1"") AND (sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1"")",y,,,,,
break_name13,persnet_survey,,descriptive,"<div style = ""padding-left:21em""><font size = 3><b>- - - - - - - - - - - -</b></font>",,,,,,,"(sum([first],[name_11],[name_12])<10 AND [name_14]=""1"") AND (sum([first],[name_11],[name_12],[name_13])<10) AND ([name_15] = 1)",,,,,,
a_tie105,persnet_survey,,radio,"Is <font color=red>[name14]</font color> a total stranger, especially close, or in-between with <font color=red>[name15]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"(sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1"") AND (sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1"")",y,,,,,
prog_marker2,persnet_survey,,descriptive,"<div style = ""padding-left:10em""><font color= ""green""; size = 3><b>You've just completed the hardest part&#8212 keep going!</font>
</div>",,,,,,,"[a_tie1] <>"""" OR
[a_tie2] <>"""" OR
[a_tie3] <>"""" OR
[a_tie4] <>"""" OR
[a_tie5] <>"""" OR
[a_tie6] <>"""" OR
[a_tie7] <>"""" OR
[a_tie8] <>"""" OR
[a_tie9] <>"""" OR
[a_tie10] <>"""" OR
[a_tie11] <>"""" OR
[a_tie12] <>"""" OR
[a_tie13] <>"""" OR
[a_tie14] <>"""" OR
[a_tie15] <>"""" OR
[a_tie16] <>"""" OR
[a_tie17] <>"""" OR
[a_tie18] <>"""" OR
[a_tie19] <>"""" OR
[a_tie20] <>"""" OR
[a_tie21] <>"""" OR
[a_tie22] <>"""" OR
[a_tie23] <>"""" OR
[a_tie24] <>"""" OR
[a_tie25] <>"""" OR
[a_tie26] <>"""" OR
[a_tie27] <>"""" OR
[a_tie28] <>"""" OR
[a_tie29] <>"""" OR
[a_tie30] <>"""" OR
[a_tie31] <>"""" OR
[a_tie32] <>"""" OR
[a_tie33] <>"""" OR
[a_tie34] <>"""" OR
[a_tie35] <>"""" OR
[a_tie36] <>"""" OR
[a_tie37] <>"""" OR
[a_tie38] <>"""" OR
[a_tie39] <>"""" OR
[a_tie40] <>"""" OR
[a_tie41] <>"""" OR
[a_tie42] <>"""" OR
[a_tie43] <>"""" OR
[a_tie44] <>"""" OR
[a_tie45] <>"""" OR
[a_tie46] <>"""" OR
[a_tie47] <>"""" OR
[a_tie48] <>"""" OR
[a_tie49] <>"""" OR
[a_tie50] <>"""" OR
[a_tie51] <>"""" OR
[a_tie52] <>"""" OR
[a_tie53] <>"""" OR
[a_tie54] <>"""" OR
[a_tie55] <>"""" OR
[a_tie56] <>"""" OR
[a_tie57] <>"""" OR
[a_tie58] <>"""" OR
[a_tie59] <>"""" OR
[a_tie60] <>"""" OR
[a_tie61] <>"""" OR
[a_tie62] <>"""" OR
[a_tie63] <>"""" OR
[a_tie64] <>"""" OR
[a_tie65] <>"""" OR
[a_tie66] <>"""" OR
[a_tie67] <>"""" OR
[a_tie68] <>"""" OR
[a_tie69] <>"""" OR
[a_tie70] <>"""" OR
[a_tie71] <>"""" OR
[a_tie72] <>"""" OR
[a_tie73] <>"""" OR
[a_tie74] <>"""" OR
[a_tie75] <>"""" OR
[a_tie76] <>"""" OR
[a_tie77] <>"""" OR
[a_tie78] <>"""" OR
[a_tie79] <>"""" OR
[a_tie80] <>"""" OR
[a_tie81] <>"""" OR
[a_tie82] <>"""" OR
[a_tie83] <>"""" OR
[a_tie84] <>"""" OR
[a_tie85] <>"""" OR
[a_tie86] <>"""" OR
[a_tie87] <>"""" OR
[a_tie88] <>"""" OR
[a_tie89] <>"""" OR
[a_tie90] <>"""" OR
[a_tie91] <>"""" OR
[a_tie92] <>"""" OR
[a_tie93] <>"""" OR
[a_tie94] <>"""" OR
[a_tie95] <>"""" OR
[a_tie96] <>"""" OR
[a_tie97] <>"""" OR
[a_tie98] <>"""" OR
[a_tie99] <>"""" OR
[a_tie100] <>"""" OR
[a_tie101] <>"""" OR
[a_tie102] <>"""" OR
[a_tie103] <>"""" OR
[a_tie104] <>"""" OR
[a_tie105] <>""""",,,,,,
name1support,persnet_survey,"<u><font size=3>About People in Your Network</u></font>

<span style=""font-weight:normal;"">We are going to ask you a series of questions about each person in your network. In some cases, you may not know the exact answer for sure. Whenever possible, we would appreciate if you would guess -  try to use the ""don't know"" category as little as possible.</span>

Which person or persons support you most often? You can choose more than one person. ",radio,[name1],"1, Supports me most often",,,,,,"[name_1] = ""1""",,,,support,,
name2support,persnet_survey,,radio,[name2],"1, Supports me most often",,,,,,"[name_2] = ""1""",,,,support,,
name3support,persnet_survey,,radio,[name3],"1, Supports me most often",,,,,,"[name_3] = ""1""",,,,support,,
name4support,persnet_survey,,radio,[name4],"1, Supports me most often",,,,,,"[name_4] = ""1""",,,,support,,
name5support,persnet_survey,,radio,[name5],"1, Supports me most often",,,,,,"[name_5] = ""1""",,,,support,,
name6support,persnet_survey,,radio,[name6],"1, Supports me most often",,,,,,"[name_6] = ""1""",,,,support,,
name7support,persnet_survey,,radio,[name7],"1, Supports me most often",,,,,,"[name_7] = ""1""",,,,support,,
name8support,persnet_survey,,radio,[name8],"1, Supports me most often",,,,,,"[name_8] = ""1""",,,,support,,
name9support,persnet_survey,,radio,[name9],"1, Supports me most often",,,,,,"[name_9] = ""1""",,,,support,,
name10support,persnet_survey,,radio,[name10],"1, Supports me most often",,,,,,"[name_10] = ""1""",,,,support,,
name11support,persnet_survey,,radio,[name11],"1, Supports me most often",,,,,,"[first] < 10 and [name_11] = ""1""",,,,support,,
name12support,persnet_survey,,radio,[name12],"1, Supports me most often",,,,,,"sum([first],[name_11])<10 and [name_12]=""1""",,,,support,,
name13support,persnet_survey,,radio,[name13],"1, Supports me most often",,,,,,"sum([first],[name_11],[name_12])<10 and [name_13]=""1""",,,,support,,
name14support,persnet_survey,,radio,[name14],"1, Supports me most often",,,,,,"sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1""",,,,support,,
name15support,persnet_survey,,radio,[name15],"1, Supports me most often",,,,,,"sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1""",,,,support,,
name1supptype,persnet_survey,"We are going to ask you about what types of support each person offers you.  These are the ways that we categorize each type of support:

<ul><span style = ""font-weight:lighter""><li><b>Emotional Support: </b>This would be someone who you turn to when you need help managing personal situations, and share feelings of happiness or sadness.</li><li><b>Life Advice: </b>This would be someone who gives you advice on life decisions such as employment or places to live.</li><li><b>Financial Support: </b>This would be someone who gives you advice or provides direct help with your daily or overall finances.</li><li><b>Physical or Health Support: </b>This would be someone who gives you advice on or provides direct help with medications/supplements, choosing doctors or getting to appointments, mental health resources, managing health insurance, or physical assistance around your household.</li><li><b>Camaraderie: </b>This would be someone who provides support through understanding important experiences that you have had together.</li></ul></span>
What kind of support does each person give you? (Select all that apply)",checkbox,[name1],"1, Emotional support | 2, Life advice | 3, Financial support | 4, Physical or Health <br> support | 5, Camaraderie | 0, None",,,,,,"[name_1] = ""1""",,,,support_type,,
name2supptype,persnet_survey,,checkbox,[name2],"1, Emotional support | 2, Life advice | 3, Financial support | 4, Physical or Health <br> support | 5, Camaraderie | 0, None",,,,,,"[name_2] = ""1""",,,,support_type,,
name3supptype,persnet_survey,,checkbox,[name3],"1, Emotional support | 2, Life advice | 3, Financial support | 4, Physical or Health <br> support | 5, Camaraderie | 0, None",,,,,,"[name_3] = ""1""",,,,support_type,,
name4supptype,persnet_survey,,checkbox,[name4],"1, Emotional support | 2, Life advice | 3, Financial support | 4, Physical or Health <br> support | 5, Camaraderie | 0, None",,,,,,"[name_4] = ""1""",,,,support_type,,
name5supptype,persnet_survey,,checkbox,[name5],"1, Emotional support | 2, Life advice | 3, Financial support | 4, Physical or Health <br> support | 5, Camaraderie | 0, None",,,,,,"[name_5] = ""1""",,,,support_type,,
name6supptype,persnet_survey,,checkbox,[name6],"1, Emotional support | 2, Life advice | 3, Financial support | 4, Physical or Health <br> support | 5, Camaraderie | 0, None",,,,,,"[name_6] = ""1""",,,,support_type,,
name7supptype,persnet_survey,,checkbox,[name7],"1, Emotional support | 2, Life advice | 3, Financial support | 4, Physical or Health <br> support | 5, Camaraderie | 0, None",,,,,,"[name_7] = ""1""",,,,support_type,,
name8supptype,persnet_survey,,checkbox,[name8],"1, Emotional support | 2, Life advice | 3, Financial support | 4, Physical or Health <br> support | 5, Camaraderie | 0, None",,,,,,"[name_8] = ""1""",,,,support_type,,
name9supptype,persnet_survey,,checkbox,[name9],"1, Emotional support | 2, Life advice | 3, Financial support | 4, Physical or Health <br> support | 5, Camaraderie | 0, None",,,,,,"[name_9] = ""1""",,,,support_type,,
name10supptype,persnet_survey,,checkbox,[name10],"1, Emotional support | 2, Life advice | 3, Financial support | 4, Physical or Health <br> support | 5, Camaraderie | 0, None",,,,,,"[name_10] = ""1""",,,,support_type,,
name11supptype,persnet_survey,,checkbox,[name11],"1, Emotional support | 2, Life advice | 3, Financial support | 4, Physical or Health <br> support | 5, Camaraderie | 0, None",,,,,,"[first] < 10 and [name_11] = ""1""",,,,support_type,,
name12supptype,persnet_survey,,checkbox,[name12],"1, Emotional support | 2, Life advice | 3, Financial support | 4, Physical or Health <br> support | 5, Camaraderie | 0, None",,,,,,"sum([first],[name_11])<10 and [name_12]=""1""",,,,support_type,,
name13supptype,persnet_survey,,checkbox,[name13],"1, Emotional support | 2, Life advice | 3, Financial support | 4, Physical or Health <br> support | 5, Camaraderie | 0, None",,,,,,"sum([first],[name_11],[name_12])<10 and [name_13]=""1""",,,,support_type,,
name14supptype,persnet_survey,,checkbox,[name14],"1, Emotional support | 2, Life advice | 3, Financial support | 4, Physical or Health <br> support | 5, Camaraderie | 0, None",,,,,,"sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1""",,,,support_type,,
name15supptype,persnet_survey,,checkbox,[name15],"1, Emotional support | 2, Life advice | 3, Financial support | 4, Physical or Health <br> support | 5, Camaraderie | 0, None",,,,,,"sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1""",,,,support_type,,
name1sex,persnet_survey,"What sex is each person in your network?",radio,[name1],"1, Male | 0, Female",,,,,,"[name_1] = ""1""",,,,sex,,
name2sex,persnet_survey,,radio,[name2],"1, Male | 0, Female",,,,,,"[name_2] = ""1""",,,,sex,,
name3sex,persnet_survey,,radio,[name3],"1, Male | 0, Female",,,,,,"[name_3] = ""1""",,,,sex,,
